cmdb数据库SN,交付清单SN,猎豹SN,BMC界面SN,飞书云文档SN,主机名,别名,带外地址,带内地址,是否一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0164,GOG4X8312A0164,GOG4X8312A0164,GOG4X8312A0164,MDC-DH1E-A17-POD1-GPU-011,hgx011,10.240.8.11,10.240.0.11,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0119,GOG4X8312A0119,GOG4X8312A0119,GOG4X8312A0119,MDC-DH1E-A18-POD1-GPU-012,hgx012,10.240.8.12,10.240.0.12,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0014,GOG4X8312A0014,GOG4X8312A0014,GOG4X8312A0014,MDC-DH1E-A19-POD1-GPU-013,hgx013,10.240.8.13,10.240.0.13,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0003,GOG4X8312A0003,GOG4X8312A0003,GOG4X8312A0003,MDC-DH1E-A20-POD1-GPU-014,hgx014,10.240.8.14,10.240.0.14,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0070,GOG4X8312A0070,GOG4X8312A0070,GOG4X8312A0070,MDC-DH1E-A21-POD1-GPU-015,hgx015,10.240.8.15,10.240.0.15,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0076,GOG4X8312A0076,GOG4X8312A0076,GOG4X8312A0076,MDC-DH1E-A22-POD1-GPU-016,hgx016,10.240.8.16,10.240.0.16,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0140,GOG4X8312A0140,GOG4X8312A0140,GOG4X8312A0140,MDC-DH1E-A23-POD1-GPU-017,hgx017,10.240.8.17,10.240.0.17,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0172,GOG4X8312A0172,GOG4X8312A0172,GOG4X8312A0172,MDC-DH1E-A24-POD1-GPU-018,hgx018,10.240.8.18,10.240.0.18,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0143,GOG4X8312A0143,GOG4X8312A0143,GOG4X8312A0143,MDC-DH1E-A25-POD1-GPU-019,hgx019,10.240.8.19,10.240.0.19,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0128,GOG4X8312A0128,GOG4X8312A0128,GOG4X8312A0128,MDC-DH1E-A26-POD1-GPU-020,hgx020,10.240.8.20,10.240.0.20,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0139,GOG4X8312A0139,GOG4X8312A0139,GOG4X8312A0139,MDC-DH1E-A27-POD1-GPU-021,hgx021,10.240.8.21,10.240.0.21,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0110,GOG4X8312A0110,GOG4X8312A0110,GOG4X8312A0110,MDC-DH1E-A28-POD1-GPU-022,hgx022,10.240.8.22,10.240.0.22,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0121,GOG4X8312A0121,GOG4X8312A0121,GOG4X8312A0121,MDC-DH1E-A29-POD1-GPU-023,hgx023,10.240.8.23,10.240.0.23,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0130,GOG4X8312A0130,GOG4X8312A0130,GOG4X8312A0130,MDC-DH1E-B07-POD1-GPU-024,hgx024,10.240.8.24,10.240.0.24,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0122,GOG4X8312A0122,GOG4X8312A0122,GOG4X8312A0122,MDC-DH1E-B08-POD1-GPU-025,hgx025,10.240.8.25,10.240.0.25,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0127,GOG6NF612A0002,GOG6NF612A0002,GOG6NF612A0002,MDC-DH1E-B09-POD1-GPU-026,hgx026,10.240.8.26,10.240.0.26,不一致,,,,,,,1,,,,,,,,,,
,GOG4X8312A0050,GOG4X8312A0050,GOG4X8312A0050,GOG4X8312A0050,MDC-DH1E-B10-POD1-GPU-027,hgx027,10.240.8.27,10.240.0.27,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0103,GOG4X8312A0103,GOG4X8312A0103,GOG4X8312A0103,MDC-DH1E-B11-POD1-GPU-028,hgx028,10.240.8.28,10.240.0.28,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0009,GOG4X8312A0009,GOG4X8312A0009,GOG4X8312A0009,MDC-DH1E-B12-POD1-GPU-029,hgx029,10.240.8.29,10.240.0.29,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0137,GOG4X8312A0137,GOG4X8312A0137,GOG4X8312A0137,MDC-DH1E-B13-POD1-GPU-030,hgx030,10.240.8.30,10.240.0.30,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0082,GOG4X8312A0082,GOG4X8312A0082,GOG4X8312A0082,MDC-DH1E-B14-POD1-GPU-031,hgx031,10.240.8.31,10.240.0.31,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0004,GOG4X8312A0004,GOG4X8312A0004,GOG4X8312A0004,MDC-DH1E-B15-POD1-GPU-032,hgx032,10.240.8.32,10.240.0.32,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0033,GOG4X8312A0033,GOG4X8312A0033,GOG4X8312A0033,MDC-DH1E-B16-POD1-GPU-033,hgx033,10.240.8.33,10.240.0.33,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0191,GOG4X8312A0191,GOG4X8312A0191,GOG4X8312A0191,MDC-DH1E-B17-POD1-GPU-034,hgx034,10.240.8.34,10.240.0.34,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0161,GOH4X8312A0083,GOG4X8312A0161,GOG4X8312A0161,MDC-DH1E-J25-POD1-GPU-162,hgx035,10.240.8.35,10.240.0.35,不一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0036,GOG4X8312A0036,GOG4X8312A0036,GOG4X8312A0036,MDC-DH1E-B19-POD1-GPU-036,hgx036,10.240.8.36,10.240.0.36,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0007,GOG4X8312A0007,GOG4X8312A0007,GOG4X8312A0007,MDC-DH1E-B20-POD1-GPU-037,hgx037,10.240.8.37,10.240.0.37,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0120,GOG4X8312A0120,GOG4X8312A0120,GOG4X8312A0120,MDC-DH1E-B21-POD1-GPU-038,hgx038,10.240.8.38,10.240.0.38,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0043,GOG4X8312A0043,GOG4X8312A0043,GOG4X8312A0043,MDC-DH1E-B22-POD1-GPU-039,hgx039,10.240.8.39,10.240.0.39,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0165,GOG4X8312A0165,GOG4X8312A0165,GOG4X8312A0165,MDC-DH1E-B23-POD1-GPU-040,hgx040,10.240.8.40,10.240.0.40,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0178,GOG4X8312A0178,GOG4X8312A0178,GOG4X8312A0178,MDC-DH1E-B24-POD1-GPU-041,hgx041,10.240.8.41,10.240.0.41,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0195,GOG4X8312A0195,GOG4X8312A0195,GOG4X8312A0195,MDC-DH1E-B25-POD1-GPU-042,hgx042,10.240.8.42,10.240.0.42,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0072,GOG4X8312A0072,GOG4X8312A0072,GOG4X8312A0072,MDC-DH1E-B26-POD1-GPU-043,hgx043,10.240.8.43,10.240.0.43,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0162,GOG4X8312A0162,GOG4X8312A0162,GOG4X8312A0162,MDC-DH1E-B27-POD1-GPU-044,hgx044,10.240.8.44,10.240.0.44,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0109,GOG4X8312A0109,GOG4X8312A0109,GOG4X8312A0109,MDC-DH1E-B28-POD1-GPU-045,hgx045,10.240.8.45,10.240.0.45,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0118,GOG4X8312A0118,GOG4X8312A0118,GOG4X8312A0118,MDC-DH1E-B29-POD1-GPU-046,hgx046,10.240.8.46,10.240.0.46,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0070,GOJ4X8312A0070,GOJ4X8312A0070,GOJ4X8312A0070,MDC-DH1E-C07-POD1-GPU-047,hgx047,10.240.8.47,10.240.0.47,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0069,GOI4X8312A0069,GOI4X8312A0069,GOI4X8312A0069,MDC-DH1E-C08-POD1-GPU-048,hgx048,10.240.8.48,10.240.0.48,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0063,GOJ4X8312A0063,GOJ4X8312A0063,GOJ4X8312A0063,MDC-DH1E-C09-POD1-GPU-049,hgx049,10.240.8.49,10.240.0.49,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0006,GOI4X8312A0006,GOI4X8312A0006,GOI4X8312A0006,MDC-DH1E-C10-POD1-GPU-050,hgx050,10.240.8.50,10.240.0.50,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0075,GOJ4X8312A0075,GOJ4X8312A0075,GOJ4X8312A0075,MDC-DH1E-C11-POD1-GPU-051,hgx051,10.240.8.51,10.240.0.51,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0095,GOI4X8312A0095,GOI4X8312A0095,GOI4X8312A0095,MDC-DH1E-C12-POD1-GPU-052,hgx052,10.240.8.52,10.240.0.52,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0065,GOJ4X8312A0065,GOJ4X8312A0065,GOJ4X8312A0065,MDC-DH1E-C13-POD1-GPU-053,hgx053,10.240.8.53,10.240.0.53,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0033,GOJ4X8312A0033,GOJ4X8312A0033,GOJ4X8312A0033,MDC-DH1E-C14-POD1-GPU-054,hgx054,10.240.8.54,10.240.0.54,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0031,GOJ4X8312A0031,GOJ4X8312A0031,GOJ4X8312A0031,MDC-DH1E-C15-POD1-GPU-055,hgx055,10.240.8.55,10.240.0.55,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0024,GOJ4X8312A0024,GOJ4X8312A0024,GOJ4X8312A0024,MDC-DH1E-C16-POD1-GPU-056,hgx056,10.240.8.56,10.240.0.56,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0070,GOI4X8312A0070,GOI4X8312A0070,GOI4X8312A0070,MDC-DH1E-C17-POD1-GPU-057,hgx057,10.240.8.57,10.240.0.57,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0005,GOJ4X8312A0005,GOJ4X8312A0005,GOJ4X8312A0005,MDC-DH1E-C18-POD1-GPU-058,hgx058,10.240.8.58,10.240.0.58,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0047,GOJ4X8312A0047,GOJ4X8312A0047,GOJ4X8312A0047,MDC-DH1E-C19-POD1-GPU-059,hgx059,10.240.8.59,10.240.0.59,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0037,GOJ4X8312A0037,GOJ4X8312A0037,GOJ4X8312A0037,MDC-DH1E-C20-POD1-GPU-060,hgx060,10.240.8.60,10.240.0.60,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0050,GOJ4X8312A0050,GOJ4X8312A0050,GOJ4X8312A0050,MDC-DH1E-C21-POD1-GPU-061,hgx061,10.240.8.61,10.240.0.61,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0091,GOI4X8312A0091,GOI4X8312A0091,GOI4X8312A0091,MDC-DH1E-C22-POD1-GPU-062,hgx062,10.240.8.62,10.240.0.62,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0041,GOJ4X8312A0041,GOJ4X8312A0041,GOJ4X8312A0041,MDC-DH1E-C23-POD1-GPU-063,hgx063,10.240.8.63,10.240.0.63,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0062,GOJ4X8312A0062,GOJ4X8312A0062,GOJ4X8312A0062,MDC-DH1E-D07-POD1-GPU-064,hgx064,10.240.8.64,10.240.0.64,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0015,GOG4X8312A0015,GOG4X8312A0015,GOG4X8312A0015,MDC-DH1E-D08-POD1-GPU-065,hgx065,10.240.8.65,10.240.0.65,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0046,GOJ4X8312A0046,GOJ4X8312A0046,GOJ4X8312A0046,MDC-DH1E-D09-POD1-GPU-066,hgx066,10.240.8.66,10.240.0.66,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0074,GOJ4X8312A0074,GOJ4X8312A0074,GOJ4X8312A0074,MDC-DH1E-D10-POD1-GPU-067,hgx067,10.240.8.67,10.240.0.67,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0023,GOI4X8312A0023,GOI4X8312A0023,GOI4X8312A0023,MDC-DH1E-D11-POD1-GPU-068,hgx068,10.240.8.68,10.240.0.68,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0032,GOJ4X8312A0032,GOJ4X8312A0032,GOJ4X8312A0032,MDC-DH1E-D12-POD1-GPU-069,hgx069,10.240.8.69,10.240.0.69,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0119,GOI4X8312A0119,GOI4X8312A0119,GOI4X8312A0119,MDC-DH1E-D13-POD1-GPU-070,hgx070,10.240.8.70,10.240.0.70,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0133,GOG4X8312A0133,GOG4X8312A0133,GOG4X8312A0133,MDC-DH1E-M05-POD1-GPU-071,hgx071,10.240.8.71,10.240.1.127,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0085,GOH4X8312A0085,GOH4X8312A0085,GOH4X8312A0085,MDC-DH1E-M06-POD1-GPU-072,hgx072,10.240.8.72,10.240.1.128,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0099,GOH4X8312A0099,GOH4X8312A0099,GOH4X8312A0099,MDC-DH1E-M07-POD1-GPU-073,hgx073,10.240.8.73,10.240.1.129,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0053,GOJ4X8312A0053,GOJ4X8312A0053,GOJ4X8312A0053,MDC-DH1E-D17-POD1-GPU-074,hgx074,10.240.8.74,10.240.0.74,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0044,GOJ4X8312A0044,GOJ4X8312A0044,GOJ4X8312A0044,MDC-DH1E-D18-POD1-GPU-075,hgx075,10.240.8.75,10.240.0.75,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0026,GOJ4X8312A0026,GOJ4X8312A0026,GOJ4X8312A0026,MDC-DH1E-D19-POD1-GPU-076,hgx076,10.240.8.76,10.240.0.76,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0076,GOJ4X8312A0076,GOJ4X8312A0076,GOJ4X8312A0076,MDC-DH1E-D20-POD1-GPU-077,hgx077,10.240.8.77,10.240.0.77,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0004,GOJ4X8312A0004,GOJ4X8312A0004,GOJ4X8312A0004,MDC-DH1E-D21-POD1-GPU-078,hgx078,10.240.8.78,10.240.0.78,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0079,GOJ4X8312A0079,GOJ4X8312A0079,GOJ4X8312A0079,MDC-DH1E-D22-POD1-GPU-079,hgx079,10.240.8.79,10.240.0.79,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0045,GOI4X8312A0045,GOI4X8312A0045,GOI4X8312A0045,MDC-DH1E-D23-POD1-GPU-080,hgx080,10.240.8.80,10.240.0.80,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0012,GOJ4X8312A0012,GOJ4X8312A0012,GOJ4X8312A0012,MDC-DH1E-D24-POD1-GPU-081,hgx081,10.240.8.81,10.240.0.81,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0077,GOJ4X8312A0077,GOJ4X8312A0077,GOJ4X8312A0077,MDC-DH1E-D25-POD1-GPU-082,hgx082,10.240.8.82,10.240.0.82,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0046,GOI4X8312A0046,GOI4X8312A0046,GOI4X8312A0046,MDC-DH1E-D26-POD1-GPU-083,hgx083,10.240.8.83,10.240.0.83,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0001,GOJ4X8312A0001,GOJ4X8312A0001,GOJ4X8312A0001,MDC-DH1E-D27-POD1-GPU-084,hgx084,10.240.8.84,10.240.0.84,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0040,GOJ4X8312A0040,GOJ4X8312A0040,GOJ4X8312A0040,MDC-DH1E-D28-POD1-GPU-085,hgx085,10.240.8.85,10.240.0.85,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0064,GOJ4X8312A0064,GOJ4X8312A0064,GOJ4X8312A0064,MDC-DH1E-D29-POD1-GPU-086,hgx086,10.240.8.86,10.240.0.86,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0019,GOJ4X8312A0019,GOJ4X8312A0019,GOJ4X8312A0019,MDC-DH1E-E07-POD1-GPU-087,hgx087,10.240.8.87,10.240.0.87,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0150,GOG4X8312A0150,GOG4X8312A0150,GOG4X8312A0150,MDC-DH1E-E08-POD1-GPU-088,hgx088,10.240.8.88,10.240.0.88,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0013,GOJ4X8312A0013,GOJ4X8312A0013,GOJ4X8312A0013,MDC-DH1E-E09-POD1-GPU-089,hgx089,10.240.8.89,10.240.0.89,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0034,GOJ4X8312A0034,GOJ4X8312A0034,GOJ4X8312A0034,MDC-DH1E-E10-POD1-GPU-090,hgx090,10.240.8.90,10.240.0.90,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0115,GOH4X8312A0115,GOH4X8312A0115,GOH4X8312A0115,MDC-DH1E-E11-POD1-GPU-091,hgx091,10.240.8.91,10.240.0.91,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0055,GOJ4X8312A0055,GOJ4X8312A0055,GOJ4X8312A0055,MDC-DH1E-E12-POD1-GPU-092,hgx092,10.240.8.92,10.240.0.92,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0009,GOJ4X8312A0009,GOJ4X8312A0009,GOJ4X8312A0009,MDC-DH1E-E13-POD1-GPU-093,hgx093,10.240.8.93,10.240.0.93,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0054,GOJ4X8312A0054,GOJ4X8312A0054,GOJ4X8312A0054,MDC-DH1E-E14-POD1-GPU-094,hgx094,10.240.8.94,10.240.0.94,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0038,GOJ4X8312A0038,GOJ4X8312A0038,GOJ4X8312A0038,MDC-DH1E-E15-POD1-GPU-095,hgx095,10.240.8.95,10.240.0.95,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0029,GOJ4X8312A0029,GOJ4X8312A0029,GOJ4X8312A0029,MDC-DH1E-E16-POD1-GPU-096,hgx096,10.240.8.96,10.240.0.96,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0048,GOJ4X8312A0048,GOJ4X8312A0048,GOJ4X8312A0048,MDC-DH1E-E17-POD1-GPU-097,hgx097,10.240.8.97,10.240.0.97,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0078,GOJ4X8312A0078,GOJ4X8312A0078,GOJ4X8312A0078,MDC-DH1E-E18-POD1-GPU-098,hgx098,10.240.8.98,10.240.0.98,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0043,GOJ4X8312A0043,GOJ4X8312A0043,GOJ4X8312A0043,MDC-DH1E-E19-POD1-GPU-099,hgx099,10.240.8.99,10.240.0.99,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0071,GOJ4X8312A0071,GOJ4X8312A0071,GOJ4X8312A0071,MDC-DH1E-E20-POD1-GPU-100,hgx100,10.240.8.100,10.240.0.100,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0043,GOI4X8312A0043,GOI4X8312A0043,GOI4X8312A0043,MDC-DH1E-E21-POD1-GPU-101,hgx101,10.240.8.101,10.240.0.101,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0106,GOG4X8312A0106,GOG4X8312A0106,GOG4X8312A0106,MDC-DH1E-E22-POD1-GPU-102,hgx102,10.240.8.102,10.240.0.102,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0066,GOJ4X8312A0066,GOJ4X8312A0066,GOJ4X8312A0066,MDC-DH1E-E23-POD1-GPU-103,hgx103,10.240.8.103,10.240.0.103,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0073,GOJ4X8312A0073,GOJ4X8312A0073,GOJ4X8312A0073,MDC-DH1E-E24-POD1-GPU-104,hgx104,10.240.8.104,10.240.0.104,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0016,GOJ4X8312A0016,GOJ4X8312A0016,GOJ4X8312A0016,MDC-DH1E-E25-POD1-GPU-105,hgx105,10.240.8.105,10.240.0.105,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0039,GOJ4X8312A0039,GOJ4X8312A0039,GOJ4X8312A0039,MDC-DH1E-E26-POD1-GPU-106,hgx106,10.240.8.106,10.240.0.106,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0030,GOJ4X8312A0030,GOJ4X8312A0030,GOJ4X8312A0030,MDC-DH1E-E27-POD1-GPU-107,hgx107,10.240.8.107,10.240.0.107,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0022,GOJ4X8312A0022,GOJ4X8312A0022,GOJ4X8312A0022,MDC-DH1E-E28-POD1-GPU-108,hgx108,10.240.8.108,10.240.0.108,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0060,GOJ4X8312A0060,GOJ4X8312A0060,GOJ4X8312A0060,MDC-DH1E-E29-POD1-GPU-109,hgx109,10.240.8.109,10.240.0.109,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0052,GOJ4X8312A0052,GOJ4X8312A0052,GOJ4X8312A0052,MDC-DH1E-F07-POD1-GPU-110,hgx110,10.240.8.110,10.240.0.110,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0051,GOJ4X8312A0051,GOJ4X8312A0051,GOJ4X8312A0051,MDC-DH1E-F08-POD1-GPU-111,hgx111,10.240.8.111,10.240.0.111,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0049,GOJ4X8312A0049,GOJ4X8312A0049,GOJ4X8312A0049,MDC-DH1E-F09-POD1-GPU-112,hgx112,10.240.8.112,10.240.0.112,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0042,GOJ4X8312A0042,GOJ4X8312A0042,GOJ4X8312A0042,MDC-DH1E-F10-POD1-GPU-113,hgx113,10.240.8.113,10.240.0.113,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0008,GOJ4X8312A0008,GOJ4X8312A0008,GOJ4X8312A0008,MDC-DH1E-F11-POD1-GPU-114,hgx114,10.240.8.114,10.240.0.114,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0035,GOJ4X8312A0035,GOJ4X8312A0035,GOJ4X8312A0035,MDC-DH1E-F12-POD1-GPU-115,hgx115,10.240.8.115,10.240.0.115,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0018,GOJ4X8312A0018,GOJ4X8312A0018,GOJ4X8312A0018,MDC-DH1E-F13-POD1-GPU-116,hgx116,10.240.8.116,10.240.0.116,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0027,GOJ4X8312A0027,GOJ4X8312A0027,GOJ4X8312A0027,MDC-DH1E-F14-POD1-GPU-117,hgx117,10.240.8.117,10.240.0.117,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0061,GOJ4X8312A0061,GOJ4X8312A0061,GOJ4X8312A0061,MDC-DH1E-F15-POD1-GPU-118,hgx118,10.240.8.118,10.240.0.118,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0072,GOJ4X8312A0072,GOJ4X8312A0072,GOJ4X8312A0072,MDC-DH1E-F16-POD1-GPU-119,hgx119,10.240.8.119,10.240.0.119,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0010,GOJ4X8312A0010,GOJ4X8312A0010,GOJ4X8312A0010,MDC-DH1E-F17-POD1-GPU-120,hgx120,10.240.8.120,10.240.0.120,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0040,GOI4X8312A0040,GOI4X8312A0040,GOI4X8312A0040,MDC-DH1E-F18-POD1-GPU-121,hgx121,10.240.8.121,10.240.0.121,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0006,GOJ4X8312A0006,GOJ4X8312A0006,GOJ4X8312A0006,MDC-DH1E-F19-POD1-GPU-122,hgx122,10.240.8.122,10.240.0.122,一致,,,,,,,,,,,,,,,,,
,GOG4X8512A0106,GOG4X8512A0106,GOG4X8512A0106,GOG4X8512A0106,MDC-DH1E-F20-POD1-GPU-123,hgx123,10.240.8.123,10.240.0.123,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0017,GOJ4X8312A0017,GOJ4X8312A0017,GOJ4X8312A0017,MDC-DH1E-F21-POD1-GPU-124,hgx124,10.240.8.124,10.240.0.124,一致,,,,,,,,,,,,,,,,,
,GOH3X7512A0002,GOH3X7512A0002,GOH3X7512A0002,GOH3X7512A0002,MDC-DH1E-F22-POD1-GPU-125,hgx125,10.240.8.125,10.240.0.125,一致,,,,,,,,,,,,,,,,,
